,Country,AverageTemperature
0,Afghanistan,14.045007194244604
1,Africa,24.074202745512142
2,Albania,12.610645925457991
3,Algeria,22.98511176905996
4,American Samoa,26.611965009208106
5,Andorra,11.201553063802905
6,Angola,21.824549189814817
7,Anguilla,26.61049185043145
8,Antigua And Barbuda,26.437924256951103
9,Argentina,14.621194210526316
10,Armenia,8.551647926634768
11,Aruba,27.92039022051774
12,Asia,7.3478922231614545
13,Australia,21.62469689119171
14,Austria,6.210731838281744
15,Azerbaijan,11.175936074918567
16,Bahamas,25.12822004008016
17,Bahrain,25.9308093346574
18,Baker Island,25.37235023279876
19,Bangladesh,24.820242783708977
20,Barbados,26.458547938638542
21,Belarus,5.819288060644346
22,Belgium,9.483378395451673
23,Belize,25.052099776286354
24,Benin,27.17199943181818
25,Bhutan,11.811878969957082
26,Bolivia,20.87723052631579
27,"Bonaire, Saint Eustatius And Saba",27.17329482262704
28,Bosnia And Herzegovina,10.421283954516742
29,Botswana,21.87929669156884
30,Brazil,24.699255545286505
31,British Virgin Islands,26.336523239099186
32,Bulgaria,10.482968414403032
33,Burkina Faso,28.083506760411034
34,Burma,23.706197239536955
35,Burundi,20.07099012775842
36,Cambodia,26.65685403576607
37,Cameroon,24.352585590778098
38,Canada,-5.216658945686901
39,Cape Verde,24.185563568376068
40,Cayman Islands,26.722504150283967
41,Central African Republic,25.280406916426514
42,Chad,27.120466282420747
43,Chile,9.383473684210525
44,China,6.612731031349386
45,Christmas Island,25.784654071314527
46,Colombia,24.716870967741936
47,Comoros,25.70220930232558
48,Congo,24.118099942396316
49,Costa Rica,25.61578443420379
50,Croatia,11.342399873657612
51,Cuba,25.40742638706859
52,Curaçao,27.353414669223397
53,Cyprus,18.787745686421605
54,Czech Republic,7.62601926721415
55,Côte D'Ivoire,25.94853606027987
56,Denmark,-3.0265029336266958
57,Djibouti,28.8166025331725
58,Dominica,26.110151486097795
59,Dominican Republic,25.547511210762334
60,Ecuador,21.869970347003154
61,Egypt,22.620693031209917
62,El Salvador,24.906704545454545
63,Equatorial Guinea,24.921677809798272
64,Eritrea,26.802653110047846
65,Estonia,4.819805748578648
66,Ethiopia,23.01235675997618
67,Europe,7.830063802905875
68,Falkland Islands,6.076773492667029
69,Faroe Islands,6.619001579279849
70,Federated States Of Micronesia,26.944357771260997
71,Fiji,25.038671779141108
72,Finland,1.244742261528743
73,France,11.594245735944408
74,French Guiana,25.718151106833492
75,French Polynesia,26.10709611829945
76,French Southern And Antarctic Lands,4.9831111111111115
77,Gabon,24.254725648414986
78,Gambia,27.538551816239316
79,Gaza Strip,19.192636960985627
80,Georgia,8.106881895881896
81,Germany,8.152496209728364
82,Ghana,26.711013551665726
83,Greece,14.773012002526848
84,Greenland,-18.58745804195804
85,Grenada,26.741952061361456
86,Guadeloupe,26.32956088207095
87,Guam,26.996834337349398
88,Guatemala,23.111650494159928
89,Guernsey,10.928408717624762
90,Guinea,25.452353098290597
91,Guinea Bissau,26.76136664885088
92,Guyana,25.930920115495667
93,Haiti,26.295837740923353
94,Heard Island And Mcdonald Islands,2.5621149425287357
95,Honduras,24.69554799459216
96,Hong Kong,22.65989491362764
97,Hungary,9.722423246999368
98,Iceland,1.4050650663297535
99,India,23.873789473684212
100,Indonesia,25.684483767961684
101,Iran,17.607076451156207
102,Iraq,21.775628879310347
103,Ireland,9.419558433354391
104,Isle Of Man,9.365805432722679
105,Israel,19.62657730263158
106,Italy,12.737121920404297
107,Jamaica,26.096339563862927
108,Japan,11.951907335907336
109,Jersey,10.928408717624762
110,Jordan,19.346512587701195
111,Kazakhstan,5.202144758735441
112,Kenya,24.102428231089934
113,Kingman Reef,27.13303443877551
114,Kiribati,26.73686534779834
115,Kuwait,25.098140232108317
116,Kyrgyzstan,3.2204981651376143
117,Laos,23.574696349065007
118,Latvia,5.320545167403664
119,Lebanon,17.63161773078487
120,Lesotho,13.726681793913508
121,Liberia,25.37773793103448
122,Libya,22.268253938484623
123,Liechtenstein,4.642939039797852
124,Lithuania,5.9079917877447885
125,Luxembourg,9.165196462413139
126,Macau,22.418374760076777
127,Macedonia,10.375550852811118
128,Madagascar,22.74904594441293
129,Malawi,21.431086144578316
130,Malaysia,25.80544200779727
131,Mali,28.44197657082002
132,Malta,18.494875319693094
133,Martinique,26.110151486097795
134,Mauritania,27.62025550435228
135,Mauritius,23.522653983353152
136,Mayotte,26.340961429381736
137,Mexico,20.567558041958044
138,Moldova,8.9317166771952
139,Monaco,9.024701831964624
140,Mongolia,-0.8206709844559585
141,Montenegro,10.214629500947568
142,Montserrat,26.383128475551292
143,Morocco,17.627497409326423
144,Mozambique,23.59619475878499
145,Namibia,20.484495197438637
146,Nepal,14.8073906122449
147,Netherlands,9.308701831964624
148,New Caledonia,22.700108194965186
149,New Zealand,10.371239107883817
150,Nicaragua,25.957508780036967
151,Niger,27.458972540045767
152,Nigeria,26.744708309122604
153,Niue,25.094878453038675
154,North America,2.0283738920225622
155,North Korea,6.748336832061068
156,Northern Mariana Islands,26.996834337349398
157,Norway,0.09580385344283004
158,Oceania,21.452989119170983
159,Oman,26.91686266589729
160,Pakistan,20.615513304305757
161,Palau,27.216379332477533
162,Palestina,23.125663223140496
163,Palmyra Atoll,27.16345599489796
164,Panama,26.291620638085742
165,Papua New Guinea,24.450801898734177
166,Paraguay,23.237967557251906
167,Peru,19.935974230044
168,Philippines,26.44047248677249
169,Poland,7.46020593809223
170,Portugal,14.688179987212276
171,Puerto Rico,25.45196166746526
172,Qatar,26.784996015936255
173,Reunion,23.30140309155767
174,Romania,8.76090176879343
175,Russia,-5.521881912681913
176,Rwanda,19.244422183507552
177,Saint Barthélemy,26.61049185043145
178,Saint Kitts And Nevis,25.85218600191755
179,Saint Lucia,26.646838446788113
180,Saint Martin,26.61049185043145
181,Saint Pierre And Miquelon,4.223059955113818
182,Saint Vincent And The Grenadines,26.78944870565676
183,Samoa,26.33186249232658
184,San Marino,13.83142229943146
185,Sao Tome And Principe,25.794386167146975
186,Saudi Arabia,25.546407835258666
187,Senegal,27.967375
188,Serbia,9.986563171193936
189,Seychelles,26.738423142370962
190,Sierra Leone,26.022571277159514
191,Singapore,26.52310282651072
192,Sint Maarten,26.61049185043145
193,Slovakia,7.527216993051168
194,Slovenia,9.659700568540746
195,Solomon Islands,26.62503698979592
196,Somalia,26.877085169743896
197,South Africa,17.27098291510945
198,South America,21.823920081967213
199,South Georgia And The South Sandwich Isla,1.4010251017639077
200,South Korea,11.849048745173745
201,Spain,13.61283417561592
202,Sri Lanka,26.947687001594897
203,Sudan,27.09335942857143
204,Suriname,26.17166313763234
205,Svalbard And Jan Mayen,-7.448027925531916
206,Swaziland,18.839807261078484
207,Sweden,2.3863319646241314
208,Switzerland,6.992051484523057
209,Syria,17.917548596990645
210,Taiwan,21.937427536231883
211,Tajikistan,4.016035217794253
212,Tanzania,22.34791097178683
213,Thailand,25.986800979519145
214,Timor Leste,25.96633271832718
215,Togo,26.87178275666478
216,Tonga,23.236247852760737
217,Trinidad And Tobago,26.118751198465965
218,Tunisia,19.97059047314578
219,Turkey,11.631567300916139
220,Turkmenistan,14.781998181818182
221,Turks And Caicas Islands,26.662733508082134
222,Uganda,23.03296871378911
223,Ukraine,7.653507264687303
224,United Arab Emirates,27.693994700582934
225,United Kingdom,8.572556696146558
226,United States,8.60357252215955
227,Uruguay,17.149306774809162
228,Uzbekistan,12.278015938069217
229,Venezuela,25.025685522531163
230,Vietnam,23.688365504061156
231,Virgin Islands,26.336523239099186
232,Western Sahara,22.319817823343847
233,Yemen,26.253596725288055
234,Zambia,21.282955621301774
235,Zimbabwe,21.117547246376812
236,Åland,5.291383449147189
